anyo;fallecidos;siniestros;V1S;parque_vehicular;V2S
1972;1792;26727;-1.008817593;401114;-1.111361348
1973;1719;23480;-1.169351658;417767;-1.100413883
1974;1269;18356;-1.422685983;431172;-1.091601612
1975;1054;16602;-1.509405032;445693;-1.082055696
1976;1079;17716;-1.454328054;466049;-1.068673928
1977;1071;19638;-1.359302961;514180;-1.037033239
1978;1207;19623;-1.360044572;589788;-0.987329529
1979;1309;21506;-1.266947669;608630;-0.974943045
1980;1434;25606;-1.064240656;797180;-0.850992742
1981;1552;33536;-0.67217563;863038;-0.807698555
1982;1274;55272;0.402468181;912749;-0.775019194
1983;1363;47889;0.037447237;916360;-0.77264537
1984;1210;39207;-0.391797223;930457;-0.763378186
1985;1049;30751;-0.809868076;944564;-0.754104429
1986;1191;35268;-0.586544277;962564;-0.742271465
1987;1198;32790;-0.709058418;972042;-0.736040752
1988;1248;34226;-0.638061523;985843;-0.726968155
1989;1465;37217;-0.490184285;1018255;-0.70566093
1990;1587;39479;-0.378349343;1074228;-0.668865012
1991;1602;40368;-0.33439653;1174194;-0.603148672
1992;1700;43402;-0.18439334;1356503;-0.483301121
1993;1760;44837;-0.113445886;1476128;-0.404661212
1994;1762;44236;-0.143159768;1508957;-0.383079857
1995;1890;50790;0.180874808;1678675;-0.271509465
1996;1925;57775;0.52621834;1826137;-0.174569876
1997;1883;52394;0.260177747;1988647;-0.067737928
1998;1959;49890;0.136378147;2024510;-0.044162061
1999;1655;47052;-0.003934658;2145437;0.035333766
2000;1698;40926;-0.3068086;2128855;0.024432976
2001;1562;44831;-0.11374253;2176501;0.055754833
2002;1549;41734;-0.266860486;2218062;0.083076491
2003;1703;44450;-0.13257945;2195878;0.068493019
2004;1757;46620;-0.025293056;2298620;0.136034266
2005;1626;46328;-0.03972975;2351662;0.170903382
2006;1652;44839;-0.113347005;2657892;0.372214977
2007;1645;53682;0.323857413;2824570;0.481786913
2008;1782;57087;0.492203115;3023050;0.612265067
2009;1508;56330;0.454776479;3139088;0.68854693
2010;1595;57746;0.524784559;3375523;0.843976205
2011;1573;62834;0.776339018;3654727;1.027521261
2012;1523;61791;0.724772331;3973913;1.23734996
2013;1623;73276;1.29259917;4263084;1.427447192
2014;1630;78445;1.548158328;4568664;1.628331485
2015;1646;79880;1.619105782;4751130;1.748282245
2016;1675;91711;2.204039115;4960945;1.886211881
2017;1483;94879;2.360667363;5190704;2.037252441
2018;1507;89311;2.085381352;5498895;2.239853171
2019;1617;89983;2.118605526;5718409;2.384158802
;;;;;
;STD;20226.23662;1521174.181;;
;PROM;47131.58333;2091688.188;;
